timestamp,seat_id,fused_motion_confidence,intensity,is_invigilator_motion,is_seat_vacated
10.5,seat_60,0.587,0.258,1,0
11.0,seat_66,0.661,0.302,1,1
11.0,seat_65,3.294,0.156,1,0
11.0,seat_64,7.457,0.385,1,0
11.0,seat_63,0.809,0.031,1,1
11.0,seat_61,0.714,0.378,1,1
11.0,seat_60,0.668,0.268,1,0
11.5,seat_66,0.41,0.29,1,1
11.5,seat_65,2.212,0.125,1,0
11.5,seat_64,6.236,0.334,1,0
11.5,seat_63,0.0,0.022,1,1
11.5,seat_61,0.652,0.372,1,1
11.5,seat_60,0.614,0.262,1,0
12.0,seat_66,0.617,0.3,1,1
12.0,seat_65,2.597,0.139,1,0
12.0,seat_64,5.415,0.299,1,0
12.0,seat_63,2.571,0.043,1,1
12.0,seat_61,0.674,0.374,1,1
12.0,seat_60,0.348,0.234,1,0
12.5,seat_66,0.524,0.296,1,1
12.5,seat_65,1.363,0.095,1,0
12.5,seat_64,4.376,0.254,1,0
12.5,seat_63,1.45,0.035,1,1
12.5,seat_61,0.488,0.353,1,1
12.5,seat_60,0.0,0.198,1,1
13.0,seat_66,0.578,0.298,1,1
13.0,seat_65,1.901,0.125,1,0
13.0,seat_64,4.296,0.265,1,0
13.0,seat_63,2.751,0.044,1,1
13.0,seat_61,0.543,0.359,1,1
13.0,seat_60,0.573,0.255,1,1
13.5,seat_66,0.433,0.292,1,1
13.5,seat_65,0.911,0.092,1,0
13.5,seat_64,4.026,0.266,1,0
13.5,seat_63,1.46,0.036,1,1
13.5,seat_61,0.428,0.345,1,1
13.5,seat_60,0.471,0.245,1,1
14.0,seat_66,0.904,0.313,1,1
14.0,seat_65,1.686,0.127,1,0
14.0,seat_64,4.181,0.274,1,0
14.0,seat_63,1.989,0.04,1,1
14.0,seat_61,0.589,0.361,1,1
14.0,seat_60,0.539,0.251,1,1
14.5,seat_66,0.729,0.306,0,1
14.5,seat_65,2.444,0.161,0,0
14.5,seat_64,4.054,0.268,0,0
14.5,seat_63,0.73,0.031,0,1
14.5,seat_61,0.575,0.359,0,1
14.5,seat_60,0.487,0.248,0,1
15.0,seat_66,0.596,0.3,0,1
15.0,seat_65,2.502,0.175,0,0
15.0,seat_64,2.481,0.274,0,0
15.0,seat_63,1.894,0.04,0,1
15.0,seat_61,0.639,0.37,0,1
15.0,seat_60,1.112,0.304,0,1
15.5,seat_66,0.147,0.281,0,1
15.5,seat_65,1.823,0.145,0,0
15.5,seat_64,1.961,0.266,0,0
15.5,seat_63,0.205,0.029,0,1
15.5,seat_61,0.483,0.357,0,1
15.5,seat_60,0.971,0.293,0,1
16.0,seat_66,0.302,0.287,0,1
16.0,seat_65,1.336,0.121,0,0
16.0,seat_64,1.969,0.266,0,0
16.0,seat_63,1.455,0.037,0,1
16.0,seat_61,0.573,0.363,0,1
16.0,seat_60,1.021,0.299,0,1
16.5,seat_66,0.002,0.276,0,1
16.5,seat_65,0.673,0.088,0,1
16.5,seat_64,1.822,0.253,0,0
16.5,seat_63,0.183,0.029,0,1
16.5,seat_61,0.499,0.357,0,1
16.5,seat_60,1.004,0.298,0,1
17.0,seat_66,0.583,0.297,0,1
17.0,seat_65,1.128,0.113,0,1
17.0,seat_64,1.108,0.261,0,0
17.0,seat_63,0.87,0.034,0,1
17.0,seat_61,0.958,0.392,0,1
17.0,seat_60,0.956,0.294,0,1
17.5,seat_66,0.735,0.302,0,1
17.5,seat_65,0.673,0.092,0,1
17.5,seat_64,0.641,0.25,0,0
17.5,seat_63,0.0,0.026,0,1
17.5,seat_61,1.17,0.409,0,1
17.5,seat_60,0.904,0.289,0,1
18.0,seat_66,0.516,0.294,0,1
18.0,seat_65,1.154,0.118,0,1
18.0,seat_64,0.769,0.273,0,0
18.0,seat_63,0.678,0.033,0,1
18.0,seat_61,1.125,0.408,0,1
18.0,seat_60,0.912,0.295,0,1
18.5,seat_66,0.0,0.272,0,1
18.5,seat_65,0.747,0.096,0,1
18.5,seat_64,0.739,0.27,0,0
18.5,seat_63,0.0,0.025,0,1
18.5,seat_61,0.528,0.361,0,1
18.5,seat_60,0.949,0.303,0,1
19.0,seat_66,0.516,0.294,0,1
19.0,seat_65,0.953,0.11,0,1
19.0,seat_64,0.829,0.299,0,0
19.0,seat_63,1.617,0.039,0,1
19.0,seat_61,1.379,0.423,0,1
19.0,seat_60,1.061,0.314,0,1
19.5,seat_66,0.973,0.313,0,1
19.5,seat_65,0.062,0.07,0,1
19.5,seat_64,0.555,0.28,0,0
19.5,seat_63,0.028,0.029,0,1
19.5,seat_61,1.612,0.457,0,1
19.5,seat_60,0.443,0.254,0,1
20.0,seat_66,1.616,0.335,0,1
20.0,seat_65,1.647,0.148,0,1
20.0,seat_64,0.617,0.29,0,0
20.0,seat_63,1.901,0.043,0,1
20.0,seat_61,3.067,0.577,0,0
20.0,seat_60,0.725,0.283,0,1
20.5,seat_66,0.388,0.292,0,1
20.5,seat_65,2.261,0.178,0,1
20.5,seat_64,0.515,0.272,0,1
20.5,seat_63,0.0,0.028,0,1
20.5,seat_61,2.672,0.567,0,0
20.5,seat_60,0.981,0.311,0,1
21.0,seat_66,0.365,0.292,1,1
21.0,seat_65,2.914,0.226,1,0
21.0,seat_64,0.394,0.287,1,1
21.0,seat_63,1.64,0.041,1,1
21.0,seat_61,2.257,0.535,1,0
21.0,seat_60,0.926,0.308,1,1
21.5,seat_66,0.463,0.296,1,1
21.5,seat_65,1.418,0.154,1,0
21.5,seat_64,0.094,0.263,1,1
21.5,seat_63,0.0,0.027,1,1
21.5,seat_61,2.279,0.535,1,0
21.5,seat_60,0.639,0.277,1,1
22.0,seat_66,0.971,0.312,1,1
22.0,seat_65,1.775,0.183,1,0
22.0,seat_64,0.298,0.291,1,1
22.0,seat_63,1.99,0.043,1,1
22.0,seat_61,1.322,0.465,1,0
22.0,seat_60,0.073,0.227,1,1
22.5,seat_66,0.0,0.283,0,1
22.5,seat_65,0.779,0.135,0,0
22.5,seat_64,0.097,0.266,0,1
22.5,seat_63,0.21,0.03,0,1
22.5,seat_61,0.814,0.427,0,0
22.5,seat_60,0.0,0.204,0,1
23.0,seat_66,1.379,0.324,0,1
23.0,seat_65,1.154,0.16,0,0
23.0,seat_64,0.215,0.28,0,1
23.0,seat_63,1.627,0.041,0,1
23.0,seat_61,1.224,0.464,0,0
23.0,seat_60,0.043,0.221,0,1
23.5,seat_66,1.441,0.328,0,1
23.5,seat_65,0.485,0.117,0,0
23.5,seat_64,0.035,0.258,0,1
23.5,seat_63,0.211,0.03,0,1
23.5,seat_61,0.952,0.442,0,0
23.5,seat_60,0.334,0.249,0,1
24.0,seat_66,1.341,0.326,0,1
24.0,seat_65,0.998,0.151,0,0
24.0,seat_64,0.108,0.268,0,1
24.0,seat_63,1.741,0.044,0,1
24.0,seat_61,0.733,0.424,0,0
24.0,seat_60,0.854,0.295,0,1
24.5,seat_66,0.25,0.294,0,1
24.5,seat_65,0.401,0.113,0,0
24.5,seat_64,0.0,0.255,0,1
24.5,seat_63,0.195,0.032,0,1
24.5,seat_61,0.319,0.387,0,0
24.5,seat_60,0.965,0.308,0,1
25.0,seat_66,0.625,0.306,0,1
25.0,seat_65,0.883,0.149,0,0
25.0,seat_64,0.202,0.278,0,1
25.0,seat_63,1.472,0.043,0,1
25.0,seat_61,0.571,0.409,0,0
25.0,seat_60,0.931,0.303,0,1
25.5,seat_66,0.0,0.285,0,1
25.5,seat_65,0.328,0.115,0,0
25.5,seat_64,0.0,0.255,0,1
25.5,seat_63,0.0,0.026,0,1
25.5,seat_61,0.051,0.363,0,1
25.5,seat_60,0.785,0.291,0,1
26.0,seat_66,0.12,0.292,0,1
26.0,seat_65,0.664,0.137,0,0
26.0,seat_64,0.0,0.249,0,1
26.0,seat_63,1.024,0.039,0,1
26.0,seat_61,0.176,0.373,0,1
26.0,seat_60,1.185,0.329,0,1
26.5,seat_66,0.0,0.268,0,1
26.5,seat_65,0.0,0.09,0,1
26.5,seat_64,0.0,0.24,0,1
26.5,seat_63,0.235,0.032,0,1
26.5,seat_61,0.0,0.352,0,1
26.5,seat_60,1.042,0.317,0,1
27.0,seat_66,0.163,0.293,0,1
27.0,seat_65,0.244,0.108,0,1
27.0,seat_64,0.017,0.256,0,1
27.0,seat_63,1.864,0.047,0,1
27.0,seat_61,0.168,0.371,0,1
27.0,seat_60,0.895,0.308,0,1
27.5,seat_66,1.446,0.329,0,1
27.5,seat_65,0.0,0.081,0,1
27.5,seat_64,0.0,0.228,0,1
27.5,seat_63,0.216,0.032,0,1
27.5,seat_61,0.444,0.392,0,1
27.5,seat_60,0.659,0.29,0,1
28.0,seat_66,2.741,0.367,0,1
28.0,seat_65,0.391,0.118,0,1
28.0,seat_64,0.0,0.225,0,1
28.0,seat_63,1.51,0.044,0,1
28.0,seat_61,0.964,0.431,0,1
28.0,seat_60,0.814,0.302,0,1
28.5,seat_66,1.584,0.339,0,1
28.5,seat_65,0.0,0.086,0,1
28.5,seat_64,0.0,0.185,0,1
28.5,seat_63,0.003,0.03,0,1
28.5,seat_61,0.848,0.422,0,1
28.5,seat_60,0.623,0.288,0,1
29.0,seat_66,0.493,0.306,0,1
29.0,seat_65,0.483,0.124,0,1
29.0,seat_64,0.0,0.233,0,1
29.0,seat_63,1.261,0.042,0,1
29.0,seat_61,0.164,0.373,0,1
29.0,seat_60,0.93,0.311,0,1
29.5,seat_66,0.0,0.277,0,1
29.5,seat_65,0.027,0.094,0,1
29.5,seat_64,0.0,0.194,0,1
29.5,seat_63,0.315,0.033,0,1
29.5,seat_61,0.0,0.301,0,1
29.5,seat_60,0.442,0.279,0,1
30.0,seat_66,0.0,0.274,0,1
30.0,seat_65,0.369,0.116,0,1
30.0,seat_64,0.0,0.206,0,1
30.0,seat_63,1.576,0.044,0,1
30.0,seat_61,0.0,0.31,0,1
30.0,seat_60,0.453,0.279,0,1
30.5,seat_66,0.0,0.243,0,1
30.5,seat_65,0.0,0.09,0,1
30.5,seat_64,0.0,0.182,0,1
30.5,seat_63,0.43,0.034,0,1
30.5,seat_61,0.0,0.305,0,1
30.5,seat_60,0.312,0.27,0,1
31.0,seat_66,0.0,0.245,0,1
31.0,seat_65,0.397,0.118,0,1
31.0,seat_64,0.0,0.194,0,1
31.0,seat_63,1.751,0.046,0,1
31.0,seat_61,0.0,0.291,0,1
31.0,seat_60,0.371,0.274,0,1
31.5,seat_66,0.0,0.23,0,1
31.5,seat_65,0.0,0.09,0,1
31.5,seat_64,0.0,0.177,0,1
31.5,seat_63,0.558,0.035,0,1
31.5,seat_61,0.0,0.272,0,1
31.5,seat_60,0.23,0.266,0,1
32.0,seat_66,0.0,0.242,0,1
32.0,seat_65,0.254,0.108,0,1
32.0,seat_64,0.0,0.189,0,1
32.0,seat_63,1.089,0.04,0,1
32.0,seat_61,0.0,0.282,0,1
32.0,seat_60,0.331,0.273,0,1
32.5,seat_66,0.0,0.226,0,1
32.5,seat_65,0.0,0.088,0,1
32.5,seat_64,0.0,0.176,0,1
32.5,seat_63,0.303,0.034,0,1
32.5,seat_61,0.0,0.274,0,1
32.5,seat_60,0.215,0.268,0,1
33.0,seat_66,0.0,0.234,0,1
33.0,seat_65,0.189,0.104,0,1
33.0,seat_64,0.0,0.186,0,1
33.0,seat_63,0.851,0.039,0,1
33.0,seat_61,0.0,0.266,0,1
33.0,seat_60,0.24,0.27,0,1
33.5,seat_66,0.0,0.228,0,1
33.5,seat_65,0.0,0.087,0,1
33.5,seat_64,0.0,0.171,0,1
33.5,seat_63,0.092,0.032,0,1
33.5,seat_61,0.0,0.254,0,1
33.5,seat_60,0.125,0.263,0,1
34.0,seat_66,0.0,0.236,0,1
34.0,seat_65,0.176,0.103,0,1
34.0,seat_64,0.0,0.18,0,1
34.0,seat_63,0.264,0.033,0,1
34.0,seat_61,0.0,0.258,0,1
34.0,seat_60,0.227,0.271,0,1
34.5,seat_66,0.0,0.231,0,1
34.5,seat_65,0.0,0.087,0,1
34.5,seat_64,0.0,0.171,0,1
34.5,seat_63,0.0,0.031,0,1
34.5,seat_61,0.0,0.255,0,1
34.5,seat_60,0.132,0.267,0,1
35.0,seat_66,0.0,0.236,0,1
35.0,seat_65,0.223,0.105,0,1
35.0,seat_64,0.0,0.179,0,1
35.0,seat_63,0.755,0.037,0,1
35.0,seat_61,0.0,0.261,0,1
35.0,seat_60,0.129,0.268,0,1
35.5,seat_66,0.0,0.233,0,1
35.5,seat_65,0.0,0.092,0,1
35.5,seat_64,0.0,0.169,0,1
35.5,seat_63,0.0,0.03,0,1
35.5,seat_61,0.0,0.265,0,1
35.5,seat_60,0.049,0.264,0,1
36.0,seat_66,0.0,0.255,0,1
36.0,seat_65,0.271,0.107,0,1
36.0,seat_64,0.0,0.174,0,1
36.0,seat_63,0.263,0.033,0,1
36.0,seat_61,0.0,0.287,0,1
36.0,seat_60,0.095,0.267,0,1
36.5,seat_66,0.0,0.262,0,1
36.5,seat_65,0.0,0.089,0,1
36.5,seat_64,0.0,0.176,0,1
36.5,seat_63,0.493,0.035,0,1
36.5,seat_61,0.0,0.333,0,1
36.5,seat_60,0.06,0.265,0,1
37.0,seat_66,0.0,0.277,0,1
37.0,seat_65,0.388,0.112,0,1
37.0,seat_64,0.0,0.19,0,1
37.0,seat_63,1.61,0.044,0,1
37.0,seat_61,0.0,0.348,0,1
37.0,seat_60,0.085,0.266,0,1
37.5,seat_66,0.0,0.265,0,1
37.5,seat_65,0.0,0.088,0,1
37.5,seat_64,0.0,0.187,0,1
37.5,seat_63,0.442,0.035,0,1
37.5,seat_61,0.0,0.335,0,1
37.5,seat_60,0.0,0.252,0,1
38.0,seat_66,0.0,0.265,0,1
38.0,seat_65,0.458,0.115,0,1
38.0,seat_64,0.027,0.2,0,1
38.0,seat_63,1.802,0.046,0,1
38.0,seat_61,0.0,0.327,0,1
38.0,seat_60,0.0,0.253,0,1
38.5,seat_66,0.0,0.254,0,1
38.5,seat_65,0.0,0.091,0,1
38.5,seat_64,0.0,0.186,0,1
38.5,seat_63,0.773,0.038,0,1
38.5,seat_61,0.0,0.295,0,1
38.5,seat_60,0.0,0.24,0,1
39.0,seat_66,0.0,0.267,0,1
39.0,seat_65,0.5,0.116,0,1
39.0,seat_64,0.006,0.196,0,1
39.0,seat_63,1.691,0.046,0,1
39.0,seat_61,0.0,0.294,0,1
39.0,seat_60,0.0,0.254,0,1
39.5,seat_66,0.0,0.24,0,1
39.5,seat_65,0.0,0.092,0,1
39.5,seat_64,0.0,0.185,0,1
39.5,seat_63,1.11,0.041,0,1
39.5,seat_61,0.0,0.26,0,1
39.5,seat_60,0.0,0.241,0,1
40.0,seat_66,0.0,0.249,0,1
40.0,seat_65,0.614,0.12,0,1
40.0,seat_64,0.057,0.201,0,1
40.0,seat_63,2.097,0.05,0,1
40.0,seat_61,0.0,0.258,0,1
40.0,seat_60,0.0,0.241,0,1
40.5,seat_66,0.0,0.234,0,1
40.5,seat_65,0.0,0.092,0,1
40.5,seat_64,0.0,0.185,0,1
40.5,seat_63,1.153,0.042,0,1
40.5,seat_61,0.0,0.245,0,1
40.5,seat_60,0.0,0.236,0,1
41.0,seat_66,0.0,0.24,0,1
41.0,seat_65,0.425,0.11,0,1
41.0,seat_64,0.0,0.194,0,1
41.0,seat_63,1.612,0.046,0,1
41.0,seat_61,0.0,0.251,0,1
41.0,seat_60,0.0,0.239,0,1
41.5,seat_66,0.0,0.231,0,1
41.5,seat_65,0.002,0.094,0,1
41.5,seat_64,0.0,0.185,0,1
41.5,seat_63,0.802,0.039,0,1
41.5,seat_61,0.0,0.243,0,1
41.5,seat_60,0.0,0.236,0,1
