epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4064,3.38534,15.9357,1.27965,0.00013,0.5,0.00061,0.00031,1.12849,71.6864,0.49872,0.000549352,0.000549352,0.000549352
2,40.1145,3.16287,9.61478,1.20331,0.81238,0.66667,0.67591,0.21399,1.29281,22.5287,0.52013,0.00107767,0.00107767,0.00107767
3,86.1007,3.24764,8.33367,1.16526,0.62214,0.58333,0.57575,0.16373,1.29162,22.3649,0.56442,0.00157848,0.00157848,0.00157848
4,173.204,3.06247,6.67181,1.18059,0.55864,0.41667,0.52238,0.25322,1.27175,15.8827,0.57933,0.00154323,0.00154323,0.00154323
5,251.437,3.08148,5.68037,1.15209,0.48989,0.5,0.48419,0.21669,1.21749,11.6606,0.56092,0.00150197,0.00150197,0.00150197
6,333.616,3.11838,4.31112,1.13112,0.5524,0.5,0.53957,0.15459,1.3015,11.5201,0.53661,0.00146071,0.00146071,0.00146071
7,391.887,3.07413,3.46712,1.12691,0.3349,0.58333,0.54415,0.1837,1.2124,7.42232,0.55923,0.00141945,0.00141945,0.00141945
8,411.073,2.9901,3.05168,1.13824,0.52618,0.41667,0.43523,0.21256,1.08929,6.04874,0.50501,0.00137819,0.00137819,0.00137819
9,429.625,2.91405,2.78284,1.12159,0.60088,0.76198,0.58917,0.20222,1.20455,5.47367,0.51626,0.00133693,0.00133693,0.00133693
10,469.686,2.88145,2.53044,1.11381,0.5514,0.69389,0.69804,0.23766,1.10251,4.61817,0.48773,0.00129568,0.00129568,0.00129568
11,515.75,2.8213,2.34057,1.09104,0.41656,0.79216,0.48432,0.18471,1.19017,4.10706,0.54753,0.00125442,0.00125442,0.00125442
12,596.821,2.76879,2.07648,1.11758,0.32942,0.70606,0.33013,0.14983,1.06357,4.56985,0.49391,0.00121316,0.00121316,0.00121316
13,678.557,2.88117,1.88819,1.10022,0.41292,0.66667,0.47398,0.20553,1.04801,2.59708,0.49632,0.0011719,0.0011719,0.0011719
14,744.14,2.77979,1.8054,1.08089,0.70068,0.83333,0.75824,0.25874,1.03848,3.23712,0.46811,0.00113064,0.00113064,0.00113064
15,817.456,2.83651,1.86745,1.04954,0.5332,0.78558,0.64404,0.32277,1.0692,2.8401,0.48491,0.00108938,0.00108938,0.00108938
16,830.196,2.74171,1.82416,1.01174,0.50514,0.6851,0.59574,0.11004,1.31528,2.10463,0.53367,0.00104813,0.00104813,0.00104813
17,842.983,2.75339,1.78049,1.05264,0.56413,0.70406,0.64858,0.18598,1.09378,2.08782,0.47808,0.00100687,0.00100687,0.00100687
18,855.871,2.61905,1.72557,1.03071,0.46126,0.86163,0.74402,0.4169,1.03578,1.83011,0.48545,0.00096561,0.00096561,0.00096561
19,869.109,2.61635,1.52376,1.06949,0.64347,0.7767,0.75756,0.30364,1.02232,1.76628,0.48026,0.000924352,0.000924352,0.000924352
20,880.268,2.63421,1.63136,1.07662,0.81519,0.76711,0.74667,0.31466,1.05735,1.72496,0.47888,0.000883093,0.000883093,0.000883093
21,887.477,2.39501,1.39348,1.01013,0.62969,0.62554,0.6511,0.28945,1.12724,1.9037,0.50846,0.000841835,0.000841835,0.000841835
22,895.546,2.54278,1.44467,1.0044,0.49435,0.67625,0.54474,0.22269,1.11458,1.65809,0.50408,0.000800577,0.000800577,0.000800577
23,903.416,2.55328,1.47267,1.06088,0.62886,0.86455,0.79979,0.34175,1.16506,1.52916,0.48924,0.000759318,0.000759318,0.000759318
24,910.872,2.53901,1.34938,1.03563,0.75304,0.56367,0.77936,0.23308,1.15474,1.36931,0.48776,0.00071806,0.00071806,0.00071806
25,918.252,2.56593,1.38275,1.0521,0.56874,0.80257,0.68378,0.27116,1.19096,1.46031,0.49941,0.000676802,0.000676802,0.000676802
26,928.624,2.46781,1.39528,0.98909,0.47572,0.88756,0.66619,0.26881,1.19278,1.28773,0.50642,0.000635544,0.000635544,0.000635544
27,956.641,2.43735,1.37489,0.98688,0.89122,0.83333,0.88287,0.28725,1.18824,1.251,0.51225,0.000594286,0.000594286,0.000594286
28,983.933,2.35,1.27103,0.98305,0.57043,0.73149,0.79038,0.28282,1.18599,1.2764,0.51759,0.000553027,0.000553027,0.000553027
