epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5941,3.77515,14.8894,1.56896,3e-05,0.1,2e-05,0,1.26127,40.2713,0.56988,0.000546406,0.000546406,0.000546406
2,33.9655,3.17586,7.58645,1.20865,0.71374,0.1,0.64636,0.21986,1.32655,25.0483,0.63411,0.0010748,0.0010748,0.0010748
3,38.992,3.0892,6.71125,1.18983,0.53455,0.45,0.4751,0.20703,1.62042,22.9012,0.87115,0.00157568,0.00157568,0.00157568
4,43.9546,3.10851,5.94112,1.15036,0.79135,0.7,0.70037,0.19786,1.38217,20.404,0.68134,0.00154323,0.00154323,0.00154323
5,48.7538,2.90216,4.65559,1.13529,0.51892,0.45,0.49804,0.12459,1.47389,16.6921,0.64058,0.00150197,0.00150197,0.00150197
6,58.287,2.84852,4.06388,1.10303,0.28344,0.93787,0.56257,0.20762,1.247,12.9291,0.56217,0.00146071,0.00146071,0.00146071
7,67.4703,2.80619,3.28845,1.09139,0.45956,0.8,0.5681,0.19555,1.22764,12.0033,0.57982,0.00141945,0.00141945,0.00141945
8,80.7148,2.75706,2.76834,1.06266,0.53333,0.84739,0.56731,0.18466,1.40418,8.6249,0.64108,0.00137819,0.00137819,0.00137819
9,95.6023,2.7106,2.65375,1.08622,0.28274,0.55,0.33029,0.07727,1.44649,8.25442,0.61031,0.00133693,0.00133693,0.00133693
10,110.497,2.63459,2.08447,1.08189,0.35918,0.88589,0.5515,0.23239,1.19967,7.19711,0.55109,0.00129568,0.00129568,0.00129568
11,126.884,2.69316,2.36195,1.05887,0.37312,0.75,0.65182,0.23546,1.21956,5.97302,0.55437,0.00125442,0.00125442,0.00125442
12,143.459,2.73484,2.02018,1.11548,0.41303,0.65,0.51347,0.16233,1.39218,5.78589,0.59889,0.00121316,0.00121316,0.00121316
13,158.322,2.42997,2.15746,0.98987,0.7563,0.7,0.78299,0.25094,1.29629,4.24749,0.56713,0.0011719,0.0011719,0.0011719
14,173.949,2.70242,1.89369,1.09364,0.5297,0.87722,0.695,0.19501,1.42035,4.45821,0.58688,0.00113064,0.00113064,0.00113064
15,199.203,2.63826,1.62773,1.03686,0.39315,0.55,0.2981,0.10873,1.42872,3.89241,0.5868,0.00108938,0.00108938,0.00108938
16,219.641,2.56475,1.62012,1.07324,0.3741,0.43771,0.35349,0.14092,1.42393,3.6746,0.62143,0.00104813,0.00104813,0.00104813
17,235.14,2.48785,1.63767,1.08125,0.73283,0.67717,0.745,0.26044,1.29887,3.75005,0.59229,0.00100687,0.00100687,0.00100687
18,250.286,2.49327,1.76533,1.00946,0.37446,0.74181,0.57267,0.17566,1.39633,3.18644,0.61454,0.00096561,0.00096561,0.00096561
19,264.88,2.58416,1.58386,1.00834,0.39306,0.76867,0.54475,0.279,1.38419,2.99896,0.61058,0.000924352,0.000924352,0.000924352
20,278.911,2.61656,1.45242,1.04554,0.36615,0.65,0.65381,0.22137,1.3991,2.74052,0.61427,0.000883093,0.000883093,0.000883093
21,292.872,2.51688,1.46134,1.07576,0.33429,0.8,0.45892,0.23205,1.23075,2.74204,0.57283,0.000841835,0.000841835,0.000841835
22,307.213,2.53545,1.4781,1.01901,0.32478,0.69874,0.39482,0.16004,1.35727,2.64012,0.59755,0.000800577,0.000800577,0.000800577
23,321.438,2.48025,1.47532,1.00261,0.53765,0.9,0.60853,0.19068,1.32924,2.79825,0.5535,0.000759318,0.000759318,0.000759318
24,336.678,2.35526,1.33101,0.98633,0.72405,0.68161,0.7059,0.18889,1.28131,2.46461,0.56721,0.00071806,0.00071806,0.00071806
25,351.68,2.37923,1.41788,1.03201,0.59779,0.45,0.55642,0.14551,1.45283,2.21036,0.61088,0.000676802,0.000676802,0.000676802
26,366.336,2.40212,1.3314,0.97973,0.46278,0.91351,0.67625,0.21798,1.36656,1.93884,0.6076,0.000635544,0.000635544,0.000635544
27,373.888,2.56241,1.35527,1.0343,0.66853,0.55,0.60875,0.23396,1.27137,1.96692,0.58037,0.000594286,0.000594286,0.000594286
28,379.002,2.27946,1.20298,1.01907,0.72374,0.45,0.47588,0.18758,1.2507,2.04024,0.581,0.000553027,0.000553027,0.000553027
29,392.935,2.32491,1.21132,0.99823,0.57422,0.55,0.56163,0.21442,1.19928,2.06462,0.54729,0.000511769,0.000511769,0.000511769
