epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.70283,3.69176,14.3237,1.47981,6e-05,0.06667,1e-05,0,1.19066,35.1857,0.49785,0.000545744,0.000545744,0.000545744
2,11.4378,3.04273,8.50377,1.16794,0.76121,0.17573,0.37759,0.06277,1.40806,23.3244,0.55376,0.00107415,0.00107415,0.00107415
3,16.0783,3.09421,6.83713,1.16221,0.79059,0.34716,0.30885,0.07483,1.29455,22.7875,0.53681,0.00157505,0.00157505,0.00157505
4,20.7319,3.17951,6.20368,1.17958,0.71114,0.36962,0.46831,0.10794,1.39871,20.6432,0.55176,0.00154323,0.00154323,0.00154323
5,25.487,3.0042,5.39523,1.15315,0.4052,0.37604,0.32218,0.09956,1.23534,15.6604,0.52893,0.00150197,0.00150197,0.00150197
6,30.1962,3.11708,4.51178,1.18589,0.67235,0.6,0.61611,0.19463,1.25445,15.6426,0.51653,0.00146071,0.00146071,0.00146071
7,34.6681,3.04049,3.71052,1.13353,0.53015,0.75,0.57924,0.13804,1.24706,11.6067,0.49314,0.00141945,0.00141945,0.00141945
8,39.1933,2.94972,3.27875,1.13193,0.62207,0.55,0.51993,0.19768,1.09279,11.07,0.47101,0.00137819,0.00137819,0.00137819
9,43.9259,2.71149,3.17335,1.05271,0.65651,0.41677,0.47874,0.15062,1.29296,8.12357,0.48183,0.00133693,0.00133693,0.00133693
10,48.4728,2.67975,2.87374,1.07057,0.56245,0.6,0.47905,0.17208,1.21017,7.00965,0.4754,0.00129568,0.00129568,0.00129568
11,53.1539,2.81458,2.62864,1.07391,0.57685,0.63333,0.58798,0.18946,1.13997,5.99555,0.47621,0.00125442,0.00125442,0.00125442
12,57.6369,2.86357,2.30982,1.10781,0.62066,0.53333,0.51685,0.17375,1.16131,5.50152,0.47429,0.00121316,0.00121316,0.00121316
13,62.4508,2.70104,2.0146,1.1047,0.40674,0.72065,0.39474,0.11017,1.20046,5.13808,0.46873,0.0011719,0.0011719,0.0011719
14,66.9183,2.53684,1.88983,1.08199,0.4849,0.65,0.5099,0.17304,1.10498,4.72113,0.4811,0.00113064,0.00113064,0.00113064
15,72.1223,2.61274,1.76463,1.06673,0.49235,0.68333,0.49442,0.18131,1.07666,3.54788,0.45163,0.00108938,0.00108938,0.00108938
16,76.8864,2.59122,1.82693,1.03211,0.61601,0.58333,0.65176,0.19891,1.07292,3.36082,0.44735,0.00104813,0.00104813,0.00104813
17,81.5558,2.48945,1.59011,1.01525,0.56462,0.70281,0.55645,0.22599,1.06796,3.36631,0.47477,0.00100687,0.00100687,0.00100687
18,86.0334,2.59809,1.60586,1.07637,0.5793,0.77608,0.61498,0.2027,1.11797,2.95642,0.48551,0.00096561,0.00096561,0.00096561
19,90.6238,2.53443,1.5287,1.07313,0.61978,0.54759,0.54581,0.26934,1.05266,2.71871,0.45762,0.000924352,0.000924352,0.000924352
20,95.3174,2.68926,1.63663,1.01231,0.72836,0.51667,0.58665,0.20488,1.13792,2.66799,0.46954,0.000883093,0.000883093,0.000883093
21,99.8491,2.52648,1.47635,1.04304,0.58668,0.71035,0.64843,0.30431,1.02903,2.71628,0.45776,0.000841835,0.000841835,0.000841835
22,104.878,2.41509,1.48355,0.98411,0.71804,0.55,0.62606,0.2247,1.09201,2.52139,0.4523,0.000800577,0.000800577,0.000800577
23,109.509,2.46037,1.48122,0.98087,0.60438,0.68333,0.64378,0.27167,1.08543,2.50644,0.45419,0.000759318,0.000759318,0.000759318
24,114.169,2.31172,1.28573,0.98478,0.77861,0.56216,0.63795,0.25951,1.06525,2.24293,0.45858,0.00071806,0.00071806,0.00071806
25,118.815,2.4686,1.36892,0.97363,0.7578,0.70348,0.70353,0.25158,1.11197,2.19457,0.45363,0.000676802,0.000676802,0.000676802
26,123.384,2.29657,1.2834,0.9472,0.8138,0.71667,0.71875,0.26494,1.02734,2.28448,0.44585,0.000635544,0.000635544,0.000635544
27,128.048,2.31955,1.22474,1.00021,0.66,0.71667,0.72299,0.27287,1.10046,2.10219,0.45967,0.000594286,0.000594286,0.000594286
28,132.601,2.35676,1.30304,1.01811,0.67111,0.73333,0.71805,0.25296,1.0976,1.92024,0.45402,0.000553027,0.000553027,0.000553027
29,137.372,2.33814,1.2269,1.0092,0.6618,0.76667,0.67668,0.27634,1.08846,1.86835,0.44941,0.000511769,0.000511769,0.000511769
30,141.936,2.25242,1.23736,1.00843,0.77268,0.78333,0.69994,0.24675,1.08671,1.87875,0.44662,0.000470511,0.000470511,0.000470511
31,150.699,2.30266,1.25217,0.98398,0.82207,0.8,0.79298,0.30384,1.11986,1.83551,0.4412,0.000429253,0.000429253,0.000429253
