frame_index,x1,y1,x2,y2
135,0,0,40,25
135,41,0,86,28
135,238,13,276,49
135,61,121,93,147
135,96,133,126,158
135,123,150,190,225
135,227,176,279,210
135,279,194,326,226
136,247,11,279,49
136,124,172,187,221
137,2,0,40,26
137,44,0,85,27
137,247,13,277,49
137,273,53,303,78
138,247,10,278,49
138,124,172,186,224
139,248,11,278,49
139,121,172,187,221
140,0,0,43,29
140,248,14,279,49
140,125,172,186,225
141,249,10,279,49
142,250,11,280,49
143,3,0,33,25
143,251,15,280,48
143,62,122,110,153
143,125,172,186,226
143,0,175,30,200
143,245,182,319,224
144,251,11,281,48
144,136,153,167,179
144,123,178,187,223
145,252,13,281,47
145,124,178,187,224
146,253,15,282,47
146,277,85,351,127
146,125,179,186,226
147,254,14,285,47
147,124,178,187,221
148,256,16,285,47
148,125,179,186,224
149,256,16,286,47
149,125,179,186,225
150,258,16,287,48
150,124,178,187,221
151,259,17,288,49
151,125,178,186,220
152,259,17,289,48
152,124,175,185,225
153,262,17,292,53
153,125,173,186,224
154,262,18,291,53
154,125,173,186,225
155,263,16,292,53
155,124,172,186,223
156,263,17,293,53
156,124,173,186,225
157,264,17,294,52
157,124,175,186,224
158,265,16,295,54
158,124,175,186,224
159,265,17,296,54
159,124,173,186,224
160,266,17,298,53
160,124,172,186,224
161,267,18,298,55
161,124,173,186,225
162,268,19,300,55
162,124,173,186,225
163,270,19,302,56
163,123,172,186,222
164,270,20,302,57
164,230,40,257,67
164,123,172,186,225
165,271,20,303,56
165,123,171,186,222
166,272,20,304,57
166,123,171,186,223
167,273,22,305,57
167,123,171,187,225
168,274,21,306,56
168,123,170,186,222
169,274,21,306,56
169,123,169,186,222
170,4,0,43,29
170,275,23,306,59
170,148,149,188,178
170,123,172,186,226
170,247,183,318,223
171,277,20,307,57
171,12,101,68,135
172,277,21,307,57
173,3,0,41,28
173,154,8,193,35
173,279,23,308,59
173,228,25,256,65
173,157,49,198,77
173,62,122,110,153
173,122,173,186,225
173,227,174,285,211
173,0,176,30,200
174,280,20,309,57
174,121,171,186,220
175,279,22,309,59
175,227,35,254,62
175,165,51,195,76
175,120,171,186,222
176,153,8,195,36
176,95,21,124,53
176,270,23,311,79
176,0,174,30,200
176,121,174,186,224
177,281,20,312,56
177,87,132,133,164
177,124,174,185,221
178,226,17,260,63
178,269,23,312,79
178,0,172,30,202
178,120,174,186,224
179,283,22,313,61
179,120,174,186,221
179,256,186,337,232
180,284,22,314,59
180,87,131,145,166
180,107,173,185,220
181,269,26,320,81
181,0,173,32,202
181,120,174,186,225
182,286,22,316,60
182,3,98,71,136
182,111,174,186,219
183,287,23,318,60
183,27,106,70,136
183,219,169,267,213
183,117,175,186,219
183,280,202,327,233
184,269,27,320,80
184,0,100,58,137
184,0,173,32,202
184,91,174,185,233
185,290,23,320,58
185,112,175,184,217
185,267,184,302,220
186,291,24,321,62
186,145,151,183,177
186,119,175,186,220
186,275,201,323,232
187,270,25,323,79
187,127,144,186,179
187,0,173,32,202
187,134,175,186,221
188,293,22,322,59
188,86,131,140,165
188,112,175,184,216
189,44,0,77,28
189,294,25,323,63
189,11,105,59,136
189,61,121,93,147
189,135,146,180,176
189,122,175,186,220
190,295,25,324,61
190,118,175,185,220
190,251,185,288,213
191,295,23,325,58
191,114,175,184,220
192,40,0,94,35
192,295,27,326,62
192,311,97,351,127
192,56,121,102,150
192,0,173,30,201
192,116,176,185,220
192,231,178,274,208
193,221,12,247,54
193,297,24,328,59
193,137,144,180,174
193,116,176,185,220
193,251,193,323,233
194,221,11,246,54
194,298,24,329,57
194,114,176,185,220
195,297,28,328,61
195,190,60,235,90
195,307,96,351,128
195,0,173,30,201
195,114,176,186,222
196,300,25,331,57
196,114,176,185,220
197,301,27,331,60
197,120,178,185,220
198,301,29,332,59
199,302,28,332,56
199,119,179,185,220
200,303,29,334,57
200,119,179,185,220
201,217,11,243,53
201,304,29,333,59
201,118,179,185,220
202,305,27,334,56
202,118,184,158,220
203,216,10,241,51
203,305,30,336,60
204,216,8,242,50
204,306,29,335,57
204,117,185,143,216
205,215,8,241,49
205,308,29,336,56
205,117,184,143,215
206,214,8,241,49
206,309,29,337,56
206,117,185,142,214
207,214,7,240,36
207,310,29,337,55
207,117,185,142,214
208,213,7,240,35
208,311,30,338,55
208,116,184,142,215
209,213,7,239,37
209,116,184,142,214
210,212,7,239,39
210,116,184,142,214
211,212,7,239,38
211,116,184,141,213
212,211,7,238,36
212,115,183,141,213
213,211,7,238,36
213,115,183,141,213
214,211,7,238,34
215,211,6,237,35
216,210,6,237,37
217,210,6,236,36
217,112,184,137,213
218,210,6,235,35
218,111,185,136,213
219,209,6,235,35
219,325,23,351,58
219,111,183,136,214
220,209,5,235,36
220,325,22,351,58
220,110,184,136,213
221,209,5,235,34
221,326,20,351,57
221,108,185,135,213
222,208,5,233,35
222,326,21,351,61
222,108,185,133,215
223,209,5,234,33
223,328,19,351,59
224,208,5,233,34
224,327,18,351,60
225,207,5,232,35
225,328,19,351,61
226,329,17,351,60
227,328,18,351,62
228,206,5,231,34
228,330,19,351,65
229,331,16,351,61
230,46,0,80,28
230,205,5,229,34
230,329,18,351,66
231,329,17,351,65
232,328,17,351,64
233,327,18,351,67
234,325,16,351,75
235,325,15,351,65
236,324,17,351,77
236,101,181,125,212
237,324,14,351,71
238,323,11,351,73
238,83,167,124,210
239,44,0,79,28
239,322,15,351,77
239,96,21,127,46
239,83,167,123,210
240,321,10,351,65
240,102,139,131,164
240,83,167,123,209
241,321,12,351,74
241,83,167,123,210
242,321,14,351,66
242,83,167,122,210
243,319,10,347,40
243,83,167,122,207
244,319,11,345,43
244,82,166,122,209
245,318,12,344,44
245,82,166,121,208
246,318,11,344,40
246,80,159,123,207
247,316,14,342,43
247,82,166,120,208
248,316,12,342,41
248,79,158,121,207
249,315,12,341,41
249,78,156,121,207
250,313,14,340,43
250,79,158,120,208
251,313,12,339,40
251,77,155,120,206
252,313,11,338,40
252,77,155,120,206
253,310,14,337,42
253,77,156,116,206
254,310,8,335,38
254,73,153,114,205
255,309,10,334,40
255,75,155,114,207
256,308,11,333,39
256,75,155,102,183
257,307,7,332,38
257,73,154,114,205
258,306,11,331,39
258,74,155,112,207
259,305,7,331,38
259,72,154,101,181
260,303,6,330,37
260,71,153,100,181
261,303,10,328,38
262,302,7,328,37
262,71,152,100,180
263,300,8,327,38
263,71,154,106,190
264,300,4,327,36
264,70,152,97,180
265,299,7,325,36
265,68,152,97,180
266,70,154,107,205
267,297,4,325,35
267,66,151,96,179
268,296,3,323,35
268,67,152,105,189
269,296,3,322,35
269,67,153,105,189
270,293,0,323,36
270,64,150,93,178
271,294,3,321,35
271,65,152,107,206
272,293,0,322,35
272,65,151,105,204
273,293,2,321,32
273,62,149,103,184
274,292,3,318,35
274,64,153,105,189
275,292,0,321,34
275,62,148,104,199
276,291,1,319,34
276,61,149,103,202
277,290,3,316,35
277,63,151,103,199
278,290,1,317,32
278,60,148,103,201
279,289,2,315,34
279,60,148,103,201
280,287,6,312,35
280,61,151,103,205
281,289,2,315,30
281,59,147,102,199
282,285,5,311,34
282,59,150,103,197
283,285,5,310,33
283,58,149,102,197
284,57,147,102,197
285,59,150,101,196
286,57,149,101,196
287,55,148,100,197
288,280,2,304,32
288,57,150,98,196
289,279,1,304,31
289,55,148,100,195
290,278,0,303,30
290,54,147,98,197
291,276,2,302,31
292,277,0,302,29
292,53,147,97,197
293,274,0,301,30
293,51,147,95,198
294,273,1,300,30
295,274,0,300,29
295,50,146,95,197
296,270,0,299,30
296,50,146,93,198
297,270,1,298,30
298,271,0,299,28
298,49,145,92,197
299,268,0,296,29
299,48,146,91,198
300,269,0,295,29
300,49,148,90,179
301,268,0,295,27
301,48,146,90,177
302,266,0,294,28
302,48,147,90,177
303,265,0,293,27
303,48,147,89,176
304,265,0,292,27
304,47,145,89,176
305,264,0,291,27
306,264,0,291,26
306,46,146,89,175
307,264,0,290,26
307,45,145,87,175
308,263,0,289,25
309,43,145,84,175
310,43,144,86,175
311,261,0,286,26
311,42,145,85,175
312,260,0,285,26
312,42,145,85,176
313,42,145,85,176
314,41,144,84,189
315,41,144,84,191
316,39,143,83,194
317,39,144,82,189
318,39,143,83,187
319,37,143,82,186
320,37,143,81,186
322,36,141,80,187
323,36,143,79,186
324,37,143,79,187
325,33,141,78,186
326,48,149,76,187
327,32,141,76,186
328,31,139,76,186
330,29,140,74,186
331,27,140,73,185
333,25,139,73,186
