frame_index,x1,y1,x2,y2
1232,138,0,237,176
1232,213,56,351,217
1232,33,104,65,139
1232,44,121,91,193
1233,141,0,237,176
1233,213,56,351,217
1233,33,103,65,137
1233,44,120,92,192
1234,142,0,237,176
1234,213,57,351,217
1234,200,68,231,97
1234,35,104,65,140
1234,44,121,92,207
1235,143,0,237,175
1235,213,56,351,217
1235,33,104,65,137
1235,44,120,92,207
1236,143,0,231,171
1236,214,55,351,217
1236,38,104,65,132
1236,44,130,90,205
1237,144,0,231,170
1237,213,56,351,217
1237,37,104,65,131
1237,44,121,93,205
1238,144,0,230,168
1238,213,92,351,217
1238,33,106,63,136
1238,44,127,95,202
1239,145,0,229,167
1239,214,93,339,217
1239,36,106,63,137
1239,44,130,95,205
1240,144,0,230,166
1240,246,57,290,88
1240,294,58,345,88
1240,214,101,329,183
1240,44,130,93,204
1241,160,0,229,67
1241,147,63,197,164
1241,214,101,287,184
1241,289,104,327,161
1241,44,130,94,204
1242,160,0,208,66
1242,245,57,288,88
1242,148,63,198,163
1242,214,101,283,184
1242,43,130,110,207
1243,160,0,237,67
1243,201,40,229,65
1243,149,63,198,163
1243,309,63,351,88
1243,214,101,287,183
1243,44,130,96,204
1244,160,10,203,66
1244,150,65,200,163
1244,216,101,281,171
1244,301,115,326,161
1244,45,133,90,191
1244,255,159,335,215
1245,150,10,203,162
1245,223,101,343,215
1245,45,138,93,205
1246,166,7,203,35
1246,150,65,200,162
1246,223,101,285,183
1246,45,138,91,191
1247,166,10,203,34
1247,151,62,200,162
1247,222,101,287,162
1247,45,134,91,192
1248,151,68,201,162
1248,222,101,283,143
1248,45,138,90,204
1249,151,67,201,162
1249,221,101,281,143
1249,45,137,91,204
1250,152,68,202,161
1250,222,101,287,161
1250,46,134,91,205
1251,152,67,203,159
1251,46,138,90,191
1251,278,184,315,212
1252,153,65,204,157
1252,223,101,259,135
1252,46,139,91,191
1252,275,184,322,215
1253,154,65,204,156
1253,46,145,90,191
1253,279,184,318,209
1254,155,64,205,157
1254,46,145,90,191
1255,156,62,205,157
1255,46,145,90,191
1255,279,184,314,211
1256,157,63,203,157
1256,46,147,90,191
1257,157,62,205,157
1257,47,147,90,190
1258,157,62,203,157
1258,46,147,90,191
1259,157,65,207,160
1259,46,147,89,191
1260,157,63,207,160
1260,46,147,88,190
1261,156,62,207,160
1261,54,147,89,185
1262,156,62,206,160
1262,51,149,88,185
1263,156,65,205,160
1264,157,64,206,160
1265,157,63,205,159
1266,158,63,205,159
1267,158,64,205,157
1268,159,64,206,157
1269,160,64,206,154
1270,160,64,206,151
1271,161,64,207,154
1272,162,63,208,155
1273,162,63,208,155
1274,163,63,208,148
1275,163,63,209,149
1276,164,63,209,148
1277,164,63,209,149
1278,165,62,209,151
1279,166,63,210,151
1280,166,63,210,151
1281,166,65,210,151
1282,167,65,210,150
1283,168,65,212,150
1284,167,66,212,150
1285,167,64,213,150
1286,172,65,213,147
1287,172,65,213,147
1288,172,64,213,147
1289,173,64,214,147
1290,174,64,214,147
1291,174,64,214,147
1292,174,64,214,147
1293,175,64,214,147
1294,175,64,213,149
1295,175,65,213,149
1296,175,63,213,148
1297,176,64,213,147
1298,176,64,213,147
1299,175,65,212,147
1300,175,65,211,147
1301,175,67,211,146
1302,175,68,211,145
1303,174,68,211,145
1304,173,71,211,145
1305,173,70,211,145
1306,174,72,211,145
1307,174,69,211,145
1308,175,67,211,145
1309,175,66,211,145
1310,175,67,211,145
1311,175,67,211,145
1312,176,65,212,145
1313,176,70,213,145
1314,176,72,214,145
1315,176,72,214,144
1316,176,72,215,144
1317,175,72,215,144
1318,175,72,215,144
1319,176,73,215,142
1320,176,72,215,142
