frame_index,x1,y1,x2,y2
165,186,34,213,71
165,244,242,281,287
165,294,262,331,287
166,244,243,281,287
167,184,35,215,79
167,244,261,281,287
168,245,261,277,287
169,182,38,208,72
169,324,257,375,287
169,244,261,278,287
170,181,39,209,72
170,244,261,280,287
171,181,43,209,74
171,189,74,215,106
171,245,261,279,287
172,181,47,215,79
172,244,261,279,287
173,181,48,213,80
173,245,261,280,287
174,180,48,207,81
174,245,261,278,287
175,180,50,207,84
175,243,260,276,287
176,179,37,213,94
176,243,260,278,287
177,178,39,213,99
177,373,258,399,286
177,243,260,279,287
178,177,40,213,101
178,243,260,279,287
179,177,41,213,102
179,371,258,399,285
179,243,260,279,287
180,178,45,213,107
180,371,259,399,286
180,243,260,277,287
181,178,48,211,109
181,371,259,399,285
181,242,261,276,287
182,178,49,215,97
182,371,259,400,286
182,243,261,277,287
183,180,49,212,97
183,372,258,400,286
183,243,260,277,287
184,179,49,215,97
184,243,241,277,287
184,374,258,400,286
185,178,48,215,97
185,244,241,278,287
185,374,258,400,286
186,179,47,215,96
186,372,259,400,286
186,244,261,277,287
187,179,45,213,97
187,245,261,277,287
188,185,46,213,72
188,178,71,205,100
188,244,261,277,287
189,184,47,213,77
189,244,262,277,287
190,183,47,214,78
190,244,262,277,287
191,179,52,209,95
191,244,262,277,287
192,244,263,277,287
193,243,263,274,287
194,243,263,274,287
195,242,263,276,287
196,332,195,372,231
196,243,263,278,287
197,243,263,278,287
198,244,263,278,287
199,244,262,278,287
200,184,33,211,62
200,244,262,278,287
201,184,34,211,63
201,244,263,278,287
202,183,34,209,65
202,244,263,278,287
203,181,35,214,71
203,244,263,278,287
204,180,36,214,73
204,243,262,278,287
205,176,38,213,99
205,288,187,321,211
205,244,262,278,287
206,179,38,211,80
206,243,262,278,287
206,373,262,402,287
207,176,40,210,88
207,371,262,400,287
207,243,263,278,287
208,169,40,210,97
208,371,262,402,287
208,243,264,278,287
209,172,41,210,99
209,243,264,277,287
210,172,44,217,105
210,243,264,278,287
211,171,44,208,100
211,244,264,277,287
212,171,45,208,102
212,370,263,400,287
212,244,265,274,287
213,170,45,207,102
214,169,46,207,105
215,172,45,208,109
215,286,187,318,212
215,244,266,275,287
216,171,45,208,111
216,290,187,322,211
216,244,267,275,287
217,171,39,209,110
217,290,186,323,212
217,244,267,275,287
218,169,42,209,111
218,289,185,321,211
219,170,39,209,108
219,243,267,275,287
220,167,39,208,111
220,332,194,370,219
220,243,266,275,287
221,165,39,207,101
221,331,192,372,219
222,171,40,207,102
222,334,193,372,219
222,251,210,280,234
223,171,39,206,106
223,335,193,371,219
223,251,211,288,236
224,161,40,206,105
224,157,129,182,160
225,158,39,206,100
225,154,129,182,160
226,156,39,206,100
226,154,128,182,160
227,167,40,206,111
227,154,127,182,161
227,328,196,369,230
228,166,40,206,111
228,154,129,182,161
229,172,42,205,105
229,153,127,182,174
230,170,45,204,105
230,152,125,181,175
230,338,208,370,231
231,169,47,203,103
231,151,126,180,177
232,169,49,203,104
232,149,122,180,181
233,168,49,204,103
233,122,124,180,181
234,167,50,203,103
234,126,123,180,189
235,168,56,202,103
235,122,123,179,211
236,165,44,206,103
236,118,122,179,211
237,168,43,206,111
237,108,110,178,211
238,170,42,206,107
238,109,110,177,211
239,173,42,205,111
239,110,121,176,212
240,173,42,205,99
240,110,111,176,212
240,328,207,359,231
241,175,45,204,98
241,106,124,176,212
241,330,197,366,231
242,175,44,205,100
242,101,122,179,211
243,173,45,205,99
243,102,124,178,212
243,323,195,369,231
244,173,46,205,101
244,101,125,179,212
244,335,195,368,231
245,173,47,206,104
245,101,123,176,211
245,280,187,318,212
